"Fap3","annee","Pourcentage","Horaire_atypique","libelle","code_domaine","libelle_domaine","code_fap_agregee","libelle_fap_agregee"
"T4Z60","2017-2019",7.32,"Travail le dimanche","Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"J4Z","2017-2019",34.56,"Travail le samedi","Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","2017-2019",20,"Travail de nuit","Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","2017-2019",24.67,"Travail le dimanche","Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","2017-2019",50.36,"Travail le samedi","Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","2017-2019",29.77,"Travail de nuit","Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","2017-2019",32.72,"Travail le dimanche","Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"T3Z","2017-2019",68.24,"Travail le samedi","Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","2017-2019",32.97,"Travail de nuit","Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","2017-2019",44.11,"Travail le dimanche","Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"G1Z80","2017-2019",26.54,"Travail le samedi","Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80","2017-2019",5.51,"Travail de nuit","Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80","2017-2019",14.33,"Travail le dimanche","Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"E2Z80","2017-2019",39.38,"Travail le samedi","Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80","2017-2019",28.72,"Travail de nuit","Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80","2017-2019",23.26,"Travail le dimanche","Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"C2Z80","2017-2019",NA,"Travail le samedi","Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z80","2017-2019",NA,"Travail de nuit","Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z80","2017-2019",NA,"Travail le dimanche","Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"D6Z80","2017-2019",31.73,"Travail le samedi","Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z80","2017-2019",10.23,"Travail de nuit","Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z80","2017-2019",14.79,"Travail le dimanche","Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"P4Z61","2017-2019",63.12,"Travail le samedi","Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z61","2017-2019",23.08,"Travail de nuit","Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z61","2017-2019",34.43,"Travail le dimanche","Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"T4Z61","2017-2019",57.36,"Travail le samedi","Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z61","2017-2019",10.11,"Travail de nuit","Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z61","2017-2019",53.15,"Travail le dimanche","Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"P4Z60","2017-2019",64.95,"Travail le samedi","Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z60","2017-2019",51.51,"Travail de nuit","Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z60","2017-2019",59.94,"Travail le dimanche","Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"T3Z61","2017-2019",69.96,"Travail le samedi","Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z61","2017-2019",40.86,"Travail de nuit","Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z61","2017-2019",53.9,"Travail le dimanche","Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"P0Z60","2017-2019",8.64,"Travail le samedi","Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z60","2017-2019",3.93,"Travail de nuit","Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z60","2017-2019",6,"Travail le dimanche","Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"J5Z60","2017-2019",72.96,"Travail le samedi","Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z60","2017-2019",33.75,"Travail de nuit","Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z60","2017-2019",64.15,"Travail le dimanche","Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"R4Z93","2017-2019",57.41,"Travail le samedi","Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z93","2017-2019",3.22,"Travail de nuit","Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z93","2017-2019",15.12,"Travail le dimanche","Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"E1Z46","2017-2019",14.95,"Travail le samedi","Agents qualifiés de laboratoire","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z46","2017-2019",8.4,"Travail de nuit","Agents qualifiés de laboratoire","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z46","2017-2019",8.88,"Travail le dimanche","Agents qualifiés de laboratoire","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"D4Z41","2017-2019",11.69,"Travail le samedi","Agents qualifiés de traitement thermique et de surface","D","Mécanique, travail des métaux","D4Z","Ouvriers qualifiés de la mécanique"
"D4Z41","2017-2019",18.37,"Travail de nuit","Agents qualifiés de traitement thermique et de surface","D","Mécanique, travail des métaux","D4Z","Ouvriers qualifiés de la mécanique"
"D4Z41","2017-2019",6.95,"Travail le dimanche","Agents qualifiés de traitement thermique et de surface","D","Mécanique, travail des métaux","D4Z","Ouvriers qualifiés de la mécanique"
"A0Z00","2017-2019",83.93,"Travail le samedi","Agriculteurs indépendants","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z00","2017-2019",13.22,"Travail de nuit","Agriculteurs indépendants","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z00","2017-2019",65.61,"Travail le dimanche","Agriculteurs indépendants","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z40","2017-2019",39.43,"Travail le samedi","Agriculteurs salariés","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z40","2017-2019",5.84,"Travail de nuit","Agriculteurs salariés","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z40","2017-2019",21.59,"Travail le dimanche","Agriculteurs salariés","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z","2017-2019",74.65,"Travail le samedi","Agriculteurs, éleveurs, sylviculteurs, bûcherons","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z","2017-2019",13.29,"Travail de nuit","Agriculteurs, éleveurs, sylviculteurs, bûcherons","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z","2017-2019",62.93,"Travail le dimanche","Agriculteurs, éleveurs, sylviculteurs, bûcherons","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A","2017-2019",55.04,"Travail le samedi","Agriculture, marine, pêche","A","Agriculture, marine, pêche",NA,NA
"A","2017-2019",9.49,"Travail de nuit","Agriculture, marine, pêche","A","Agriculture, marine, pêche",NA,NA
"A","2017-2019",40.57,"Travail le dimanche","Agriculture, marine, pêche","A","Agriculture, marine, pêche",NA,NA
"S1Z20","2017-2019",60.21,"Travail le samedi","Aides de cuisine, apprentis de cuisine et employés polyvalents de la restauration","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"S1Z20","2017-2019",8.77,"Travail de nuit","Aides de cuisine, apprentis de cuisine et employés polyvalents de la restauration","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"S1Z20","2017-2019",45.29,"Travail le dimanche","Aides de cuisine, apprentis de cuisine et employés polyvalents de la restauration","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"T2A","2017-2019",46.45,"Travail le samedi","Aides à domicile et aides ménagères","T","Services aux particuliers et aux collectivités","T2A","Aides à domicile et aides ménagères"
"T2A","2017-2019",5.96,"Travail de nuit","Aides à domicile et aides ménagères","T","Services aux particuliers et aux collectivités","T2A","Aides à domicile et aides ménagères"
"T2A","2017-2019",35.16,"Travail le dimanche","Aides à domicile et aides ménagères","T","Services aux particuliers et aux collectivités","T2A","Aides à domicile et aides ménagères"
"V0Z","2017-2019",60.29,"Travail le samedi","Aides-soignants","V","Santé, action sociale, culturelle et sportive","V0Z","Aides-soignants"
"V0Z","2017-2019",15.46,"Travail de nuit","Aides-soignants","V","Santé, action sociale, culturelle et sportive","V0Z","Aides-soignants"
"V0Z","2017-2019",55.6,"Travail le dimanche","Aides-soignants","V","Santé, action sociale, culturelle et sportive","V0Z","Aides-soignants"
"S0Z20","2017-2019",84.69,"Travail le samedi","Apprentis et ouvriers non qualifiés de l'alimentation (hors industries agro-alimentaires)","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z20","2017-2019",17.01,"Travail de nuit","Apprentis et ouvriers non qualifiés de l'alimentation (hors industries agro-alimentaires)","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z20","2017-2019",49.22,"Travail le dimanche","Apprentis et ouvriers non qualifiés de l'alimentation (hors industries agro-alimentaires)","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"B7Z90","2017-2019",45.76,"Travail le samedi","Architectes","B","Bâtiment, travaux publics","B7Z","Cadres du bâtiment et des travaux publics"
"B7Z90","2017-2019",8.74,"Travail de nuit","Architectes","B","Bâtiment, travaux publics","B7Z","Cadres du bâtiment et des travaux publics"
"B7Z90","2017-2019",24.35,"Travail le dimanche","Architectes","B","Bâtiment, travaux publics","B7Z","Cadres du bâtiment et des travaux publics"
"P4Z","2017-2019",63.43,"Travail le samedi","Armée, police, pompiers","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z","2017-2019",47.84,"Travail de nuit","Armée, police, pompiers","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z","2017-2019",57.09,"Travail le dimanche","Armée, police, pompiers","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"K","2017-2019",34.12,"Travail le samedi","Artisanat","K","Artisanat",NA,NA
"K","2017-2019",3.9,"Travail de nuit","Artisanat","K","Artisanat",NA,NA
"K","2017-2019",11.23,"Travail le dimanche","Artisanat","K","Artisanat",NA,NA
"F3Z40","2017-2019",63.91,"Travail le samedi","Artisans du travail du bois et de l'ameublement","F","Matériaux souples, bois, industries graphiques","F3Z","Ouvriers qualifiés du travail du bois et de l'ameublement"
"F3Z40","2017-2019",4.42,"Travail de nuit","Artisans du travail du bois et de l'ameublement","F","Matériaux souples, bois, industries graphiques","F3Z","Ouvriers qualifiés du travail du bois et de l'ameublement"
"F3Z40","2017-2019",26.03,"Travail le dimanche","Artisans du travail du bois et de l'ameublement","F","Matériaux souples, bois, industries graphiques","F3Z","Ouvriers qualifiés du travail du bois et de l'ameublement"
"K0Z","2017-2019",34.12,"Travail le samedi","Artisans et ouvriers artisanaux","K","Artisanat","K0Z","Artisans et ouvriers artisanaux"
"K0Z","2017-2019",3.9,"Travail de nuit","Artisans et ouvriers artisanaux","K","Artisanat","K0Z","Artisans et ouvriers artisanaux"
"K0Z","2017-2019",11.23,"Travail le dimanche","Artisans et ouvriers artisanaux","K","Artisanat","K0Z","Artisans et ouvriers artisanaux"
"K0Z40","2017-2019",51.58,"Travail le samedi","Artisans et ouvriers qualifiés divers de type artisanal","K","Artisanat","K0Z","Artisans et ouvriers artisanaux"
"K0Z40","2017-2019",5.67,"Travail de nuit","Artisans et ouvriers qualifiés divers de type artisanal","K","Artisanat","K0Z","Artisans et ouvriers artisanaux"
"K0Z40","2017-2019",19.04,"Travail le dimanche","Artisans et ouvriers qualifiés divers de type artisanal","K","Artisanat","K0Z","Artisans et ouvriers artisanaux"
"U1Z91","2017-2019",64,"Travail le samedi","Artistes (musique, danse, spectacles)","U","Communication, information, art et spectacle","U1Z","Professionnels des arts et des spectacles"
"U1Z91","2017-2019",17.1,"Travail de nuit","Artistes (musique, danse, spectacles)","U","Communication, information, art et spectacle","U1Z","Professionnels des arts et des spectacles"
"U1Z91","2017-2019",36.05,"Travail le dimanche","Artistes (musique, danse, spectacles)","U","Communication, information, art et spectacle","U1Z","Professionnels des arts et des spectacles"
"U1Z93","2017-2019",61.35,"Travail le samedi","Artistes plasticiens","U","Communication, information, art et spectacle","U1Z","Professionnels des arts et des spectacles"
"U1Z93","2017-2019",15.78,"Travail de nuit","Artistes plasticiens","U","Communication, information, art et spectacle","U1Z","Professionnels des arts et des spectacles"
"U1Z93","2017-2019",45.67,"Travail le dimanche","Artistes plasticiens","U","Communication, information, art et spectacle","U1Z","Professionnels des arts et des spectacles"
"T2B","2017-2019",15.45,"Travail le samedi","Assistantes maternelles","T","Services aux particuliers et aux collectivités","T2B","Assistantes maternelles"
"T2B","2017-2019",7.25,"Travail de nuit","Assistantes maternelles","T","Services aux particuliers et aux collectivités","T2B","Assistantes maternelles"
"T2B","2017-2019",9.63,"Travail le dimanche","Assistantes maternelles","T","Services aux particuliers et aux collectivités","T2B","Assistantes maternelles"
"U0Z80","2017-2019",22.59,"Travail le samedi","Assistants de communication","U","Communication, information, art et spectacle","U0Z","Professionnels de la communication et de l'information"
"U0Z80","2017-2019",4.98,"Travail de nuit","Assistants de communication","U","Communication, information, art et spectacle","U0Z","Professionnels de la communication et de l'information"
"U0Z80","2017-2019",13.91,"Travail le dimanche","Assistants de communication","U","Communication, information, art et spectacle","U0Z","Professionnels de la communication et de l'information"
"R2Z80","2017-2019",30.49,"Travail le samedi","Attachés commerciaux","R","Commerce","R2Z","Attachés commerciaux et représentants"
"R2Z80","2017-2019",3.47,"Travail de nuit","Attachés commerciaux","R","Commerce","R2Z","Attachés commerciaux et représentants"
"R2Z80","2017-2019",9.77,"Travail le dimanche","Attachés commerciaux","R","Commerce","R2Z","Attachés commerciaux et représentants"
"R2Z","2017-2019",34.6,"Travail le samedi","Attachés commerciaux et représentants","R","Commerce","R2Z","Attachés commerciaux et représentants"
"R2Z","2017-2019",3.17,"Travail de nuit","Attachés commerciaux et représentants","R","Commerce","R2Z","Attachés commerciaux et représentants"
"R2Z","2017-2019",10.15,"Travail le dimanche","Attachés commerciaux et représentants","R","Commerce","R2Z","Attachés commerciaux et représentants"
"P1Z81","2017-2019",13.63,"Travail le samedi","Autres cadres B de la fonction publique","P","Administration publique, professions juridiques, armée et police","P1Z","Professions intermédiaires administratives de la fonction publique (catégorie B et assimilés)"
"P1Z81","2017-2019",2.3,"Travail de nuit","Autres cadres B de la fonction publique","P","Administration publique, professions juridiques, armée et police","P1Z","Professions intermédiaires administratives de la fonction publique (catégorie B et assimilés)"
"P1Z81","2017-2019",7.03,"Travail le dimanche","Autres cadres B de la fonction publique","P","Administration publique, professions juridiques, armée et police","P1Z","Professions intermédiaires administratives de la fonction publique (catégorie B et assimilés)"
"E0Z24","2017-2019",20,"Travail le samedi","Autres ouvriers non qualifiés de type industriel","E","Industries de process","E0Z","Ouvriers non qualifiés des industries de process"
"E0Z24","2017-2019",11.88,"Travail de nuit","Autres ouvriers non qualifiés de type industriel","E","Industries de process","E0Z","Ouvriers non qualifiés des industries de process"
"E0Z24","2017-2019",4.99,"Travail le dimanche","Autres ouvriers non qualifiés de type industriel","E","Industries de process","E0Z","Ouvriers non qualifiés des industries de process"
"E1Z47","2017-2019",NA,"Travail le samedi","Autres ouvriers qualifiés de type industriel","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z47","2017-2019",NA,"Travail de nuit","Autres ouvriers qualifiés de type industriel","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z47","2017-2019",NA,"Travail le dimanche","Autres ouvriers qualifiés de type industriel","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z42","2017-2019",51.44,"Travail le samedi","Autres ouvriers qualifiés des industries agro-alimentaires (hors transformation des viandes)","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z42","2017-2019",31.19,"Travail de nuit","Autres ouvriers qualifiés des industries agro-alimentaires (hors transformation des viandes)","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z42","2017-2019",26.6,"Travail le dimanche","Autres ouvriers qualifiés des industries agro-alimentaires (hors transformation des viandes)","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z41","2017-2019",35.54,"Travail le samedi","Autres ouvriers qualifiés des industries chimiques et plastiques","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z41","2017-2019",32.5,"Travail de nuit","Autres ouvriers qualifiés des industries chimiques et plastiques","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z41","2017-2019",20.46,"Travail le dimanche","Autres ouvriers qualifiés des industries chimiques et plastiques","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z43","2017-2019",35.11,"Travail le samedi","Autres ouvriers qualifiés en verre, céramique, métallurgie, matériaux de construction et énergie ","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z43","2017-2019",35.17,"Travail de nuit","Autres ouvriers qualifiés en verre, céramique, métallurgie, matériaux de construction et énergie ","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z43","2017-2019",26.31,"Travail le dimanche","Autres ouvriers qualifiés en verre, céramique, métallurgie, matériaux de construction et énergie ","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"V3Z80","2017-2019",35.07,"Travail le samedi","Autres professionnels para-médicaux","V","Santé, action sociale, culturelle et sportive","V3Z","Professions para-médicales"
"V3Z80","2017-2019",0.88,"Travail de nuit","Autres professionnels para-médicaux","V","Santé, action sociale, culturelle et sportive","V3Z","Professions para-médicales"
"V3Z80","2017-2019",11.97,"Travail le dimanche","Autres professionnels para-médicaux","V","Santé, action sociale, culturelle et sportive","V3Z","Professions para-médicales"
"B1Z40","2017-2019",14.18,"Travail le samedi","B1Z40","B","Bâtiment, travaux publics","B1Z","Ouvriers qualifiés des travaux publics, du béton et de l'extraction"
"B1Z40","2017-2019",7.16,"Travail de nuit","B1Z40","B","Bâtiment, travaux publics","B1Z","Ouvriers qualifiés des travaux publics, du béton et de l'extraction"
"B1Z40","2017-2019",5.21,"Travail le dimanche","B1Z40","B","Bâtiment, travaux publics","B1Z","Ouvriers qualifiés des travaux publics, du béton et de l'extraction"
"B3Z20","2017-2019",11.74,"Travail le samedi","B3Z20","B","Bâtiment, travaux publics","B3Z","Ouvriers non qualifiés du second œuvre du bâtiment"
"B3Z20","2017-2019",2.35,"Travail de nuit","B3Z20","B","Bâtiment, travaux publics","B3Z","Ouvriers non qualifiés du second œuvre du bâtiment"
"B3Z20","2017-2019",5.2,"Travail le dimanche","B3Z20","B","Bâtiment, travaux publics","B3Z","Ouvriers non qualifiés du second œuvre du bâtiment"
"B5Z40","2017-2019",13.18,"Travail le samedi","B5Z40","B","Bâtiment, travaux publics","B5Z","Conducteurs d'engins du bâtiment et des travaux publics"
"B5Z40","2017-2019",7.12,"Travail de nuit","B5Z40","B","Bâtiment, travaux publics","B5Z","Conducteurs d'engins du bâtiment et des travaux publics"
"B5Z40","2017-2019",6.84,"Travail le dimanche","B5Z40","B","Bâtiment, travaux publics","B5Z","Conducteurs d'engins du bâtiment et des travaux publics"
"Q","2017-2019",26.28,"Travail le samedi","Banque et assurances","Q","Banque et assurances",NA,NA
"Q","2017-2019",1.39,"Travail de nuit","Banque et assurances","Q","Banque et assurances",NA,NA
"Q","2017-2019",3.82,"Travail le dimanche","Banque et assurances","Q","Banque et assurances",NA,NA
"S0Z40","2017-2019",60.56,"Travail le samedi","Bouchers","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z40","2017-2019",16.46,"Travail de nuit","Bouchers","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z40","2017-2019",27.31,"Travail le dimanche","Bouchers","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z","2017-2019",76.4,"Travail le samedi","Bouchers, charcutiers, boulangers","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z","2017-2019",29.82,"Travail de nuit","Bouchers, charcutiers, boulangers","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z","2017-2019",44.31,"Travail le dimanche","Bouchers, charcutiers, boulangers","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z42","2017-2019",89.52,"Travail le samedi","Boulangers, pâtissiers","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z42","2017-2019",52.77,"Travail de nuit","Boulangers, pâtissiers","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z42","2017-2019",60.86,"Travail le dimanche","Boulangers, pâtissiers","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"B","2017-2019",21.51,"Travail le samedi","Bâtiment, travaux publics","B","Bâtiment, travaux publics",NA,NA
"B","2017-2019",3.85,"Travail de nuit","Bâtiment, travaux publics","B","Bâtiment, travaux publics",NA,NA
"B","2017-2019",7,"Travail le dimanche","Bâtiment, travaux publics","B","Bâtiment, travaux publics",NA,NA
"A0Z02","2017-2019",NA,"Travail le samedi","Bûcherons, sylviculteurs indépendants","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z02","2017-2019",NA,"Travail de nuit","Bûcherons, sylviculteurs indépendants","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z02","2017-2019",NA,"Travail le dimanche","Bûcherons, sylviculteurs indépendants","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
