"fap","tr_age","annee_2017_2019","libelle","code_domaine","libelle_domaine","code_fap_agregee","libelle_fap_agregee"
"T4Z","60 ans ou plus",103.17413,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","15-24 ans",49.89703,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","25-29 ans",48.15413,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","30-34 ans",64.44028,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","35-39 ans",82.58912,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","40-44 ans",108.25805,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","45-49 ans",152.746,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","50-54 ans",163.38221,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","55-59 ans",152.61237,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","60 ans ou plus",82.52789,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"J4Z","15-24 ans",4.4499,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","25-29 ans",12.28732,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","30-34 ans",15.71004,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","35-39 ans",12.50578,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","40-44 ans",17.45867,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","45-49 ans",17.54825,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","50-54 ans",12.73181,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","55-59 ans",10.29887,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","60 ans ou plus",1.92986,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","15-24 ans",0.95926,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","25-29 ans",1.9859,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","30-34 ans",2.8898,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","35-39 ans",2.01775,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","40-44 ans",2.35348,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","45-49 ans",3.17455,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","50-54 ans",1.63747,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","55-59 ans",1.83314,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","60 ans ou plus",0.46197,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"T3Z","15-24 ans",9.83038,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","25-29 ans",19.38745,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","30-34 ans",18.0541,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","35-39 ans",27.89223,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","40-44 ans",28.58636,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","45-49 ans",35.07129,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","50-54 ans",31.3771,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","55-59 ans",28.34537,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","60 ans ou plus",18.58354,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"G1Z80","15-24 ans",0.21308,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80","25-29 ans",0.3057,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80","30-34 ans",3.6826,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80","35-39 ans",2.03172,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80","40-44 ans",2.48656,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80","45-49 ans",4.04484,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80","50-54 ans",2.72872,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80","55-59 ans",3.73685,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80","60 ans ou plus",2.18371,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"E2Z80","15-24 ans",1.99932,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80","25-29 ans",3.95417,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80","30-34 ans",8.04797,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80","35-39 ans",13.0818,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80","40-44 ans",13.11668,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80","45-49 ans",15.92203,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80","50-54 ans",12.37794,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80","55-59 ans",10.74785,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80","60 ans ou plus",0.60512,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"C2Z80","15-24 ans",0.18447,"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z80","25-29 ans",0.2072,"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z80","30-34 ans",0.60285,"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z80","35-39 ans",2.43949,"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z80","40-44 ans",2.06314,"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z80","45-49 ans",1.16175,"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z80","50-54 ans",1.7582,"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z80","55-59 ans",1.6594,"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z80","60 ans ou plus",0.10523,"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"D6Z80","15-24 ans",1.02309,"Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z80","25-29 ans",3.62761,"Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z80","30-34 ans",9.6597,"Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z80","35-39 ans",10.82175,"Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z80","40-44 ans",12.65883,"Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z80","45-49 ans",15.47312,"Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z80","50-54 ans",13.7806,"Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z80","55-59 ans",13.89586,"Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z80","60 ans ou plus",4.31979,"Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"P4Z61","15-24 ans",0.60032,"Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z61","25-29 ans",1.15607,"Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z61","30-34 ans",4.04168,"Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z61","35-39 ans",0.78853,"Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z61","40-44 ans",6.43506,"Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z61","45-49 ans",3.36243,"Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z61","50-54 ans",5.39738,"Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z61","55-59 ans",2.41598,"Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z61","60 ans ou plus",1.2299,"Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"T4Z61","15-24 ans",31.1376,"Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z61","25-29 ans",22.72505,"Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z61","30-34 ans",25.6976,"Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z61","35-39 ans",35.09457,"Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z61","40-44 ans",32.14502,"Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z61","45-49 ans",52.12096,"Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z61","50-54 ans",49.67123,"Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z61","55-59 ans",46.75721,"Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z61","60 ans ou plus",19.88967,"Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"P4Z60","15-24 ans",34.23719,"Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z60","25-29 ans",42.15179,"Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z60","30-34 ans",47.78607,"Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z60","35-39 ans",40.05691,"Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z60","40-44 ans",47.98917,"Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z60","45-49 ans",31.57011,"Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z60","50-54 ans",19.14229,"Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z60","55-59 ans",8.22618,"Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z60","60 ans ou plus",0.7537,"Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"T3Z61","15-24 ans",9.49716,"Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z61","25-29 ans",18.62324,"Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z61","30-34 ans",16.84897,"Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z61","35-39 ans",24.65126,"Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z61","40-44 ans",25.13328,"Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z61","45-49 ans",26.03485,"Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z61","50-54 ans",21.28731,"Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z61","55-59 ans",19.13157,"Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z61","60 ans ou plus",8.68844,"Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"P0Z60","15-24 ans",0.68056,"Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z60","25-29 ans",0.88364,"Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z60","30-34 ans",1.29968,"Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z60","35-39 ans",1.5371,"Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z60","40-44 ans",2.68958,"Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z60","45-49 ans",4.78926,"Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z60","50-54 ans",5.85189,"Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z60","55-59 ans",4.47665,"Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z60","60 ans ou plus",1.59294,"Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"J5Z60","15-24 ans",2.45548,"Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z60","25-29 ans",2.2683,"Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z60","30-34 ans",1.5822,"Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z60","35-39 ans",3.76193,"Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z60","40-44 ans",7.09315,"Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z60","45-49 ans",4.99821,"Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z60","50-54 ans",3.71474,"Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z60","55-59 ans",3.21012,"Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z60","60 ans ou plus",1.55175,"Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"R4Z93","15-24 ans",1.18211,"Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z93","25-29 ans",7.135,"Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z93","30-34 ans",7.85999,"Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z93","35-39 ans",10.98675,"Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z93","40-44 ans",13.03125,"Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z93","45-49 ans",16.96295,"Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z93","50-54 ans",14.26396,"Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z93","55-59 ans",11.28479,"Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z93","60 ans ou plus",10.52378,"Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"E1Z46","15-24 ans",4.67304,"Agents qualifiés de laboratoire","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
