"Fap","diplome","Milliers","Pourcentage","libelle","code_domaine","libelle_domaine","code_fap_agregee","libelle_fap_agregee"
"J5Z","CAP, BEP ou autre diplôme équivalent",2.8254,0.0844109265155293,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","Aucun diplôme, CEP ou brevet des collèges",2.12268,0.0634166438366191,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z","En cours d'études initiales",3.74939,0.112015815023735,"Agents administratifs et commerciaux des transports et du tourisme","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"L2Z60","Diplôme supérieur (bac +3 ou plus)",5.5234,0.216529876842115,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","Bac + 2",2.66073,0.104306684145657,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","Bac, brevet professionnel ou équivalent",7.52101,0.294840744655161,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","CAP, BEP ou autre diplôme équivalent",3.45512,0.135448583856814,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","Aucun diplôme, CEP ou brevet des collèges",1.40382,0.055032945596643,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"L2Z60","En cours d'études initiales",4.94464,0.193841164903609,"Agents d'accueil et d'information","L","Gestion, administration des entreprises","L2Z","Employés administratifs d'entreprise"
"T4Z","Diplôme supérieur (bac +3 ou plus)",4.6951,0.0284120237849867,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","Bac + 2",4.73988,0.0286830063892107,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","Bac, brevet professionnel ou équivalent",50.79545,0.307384620896063,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","CAP, BEP ou autre diplôme équivalent",48.6769,0.294564384268582,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","Aucun diplôme, CEP ou brevet des collèges",42.24245,0.255626822460888,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","En cours d'études initiales",14.10068,0.0853291422002698,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","Diplôme supérieur (bac +3 ou plus)",2.95733,0.0287319871902863,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","Bac + 2",4.19447,0.0407514407624582,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","Bac, brevet professionnel ou équivalent",29.08752,0.282600268498003,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","CAP, BEP ou autre diplôme équivalent",34.51582,0.335339004474384,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","Aucun diplôme, CEP ou brevet des collèges",24.49922,0.238022566034906,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","En cours d'études initiales",7.67378,0.0745547330399636,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"J4Z","Diplôme supérieur (bac +3 ou plus)",4.11015,0.245569308660991,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","Bac + 2",3.2452,0.193891103844543,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","Bac, brevet professionnel ou équivalent",6.32999,0.378198184526352,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","CAP, BEP ou autre diplôme équivalent",1.37974,0.0824353850667046,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","Aucun diplôme, CEP ou brevet des collèges",0.45436,0.027146666443611,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","En cours d'études initiales",1.21779,0.072759351457798,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","Diplôme supérieur (bac +3 ou plus)",0,0,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","Bac + 2",0.25298,0.0943810834909585,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","Bac, brevet professionnel ou équivalent",1.36236,0.508265526542581,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","CAP, BEP ou autre diplôme équivalent",0.49544,0.184837394279233,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","Aucun diplôme, CEP ou brevet des collèges",0.47959,0.178924119817491,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","En cours d'études initiales",0.09004,0.0335918758697363,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"T3Z","Diplôme supérieur (bac +3 ou plus)",2.17045,0.0742851197368182,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","Bac + 2",0.83843,0.0286958340164208,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","Bac, brevet professionnel ou équivalent",8.02792,0.274760993544011,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","CAP, BEP ou autre diplôme équivalent",7.87046,0.269371818509451,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","Aucun diplôme, CEP ou brevet des collèges",8.63954,0.295694101854929,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","En cours d'études initiales",1.67103,0.0571921323383701,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"G1Z80","Diplôme supérieur (bac +3 ou plus)",0,0,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80","Bac + 2",0,0,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80","Bac, brevet professionnel ou équivalent",0.65612,0.734983757141257,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80","CAP, BEP ou autre diplôme équivalent",0.13217,0.148056457936597,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80","Aucun diplôme, CEP ou brevet des collèges",0,0,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80","En cours d'études initiales",0.10441,0.116959784922146,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"E2Z80","Diplôme supérieur (bac +3 ou plus)",3.79364,0.551479716587537,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80","Bac + 2",0.23235,0.0337766135292527,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80","Bac, brevet professionnel ou équivalent",0.34445,0.0500725394024149,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80","CAP, BEP ou autre diplôme équivalent",1.74718,0.25398675974194,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80","Aucun diplôme, CEP ou brevet des collèges",0,0,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80","En cours d'études initiales",0.7614,0.110684370738855,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"C2Z80","Diplôme supérieur (bac +3 ou plus)",0.01537,0.033671435143602,"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z80","Bac + 2",0.13184,0.288825114465354,"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z80","Bac, brevet professionnel ou équivalent",0,0,"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z80","CAP, BEP ou autre diplôme équivalent",0.1168,0.255876618397704,"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z80","Aucun diplôme, CEP ou brevet des collèges",0,0,"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z80","En cours d'études initiales",0.19246,0.42162683199334,"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"D6Z80","Diplôme supérieur (bac +3 ou plus)",1.3792,0.281762075298627,"Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z80","Bac + 2",0.89515,0.182873638126135,"Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z80","Bac, brevet professionnel ou équivalent",0.17366,0.0354776696609335,"Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z80","CAP, BEP ou autre diplôme équivalent",0.79009,0.161410526444817,"Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z80","Aucun diplôme, CEP ou brevet des collèges",0.49045,0.100195917800327,"Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z80","En cours d'études initiales",1.16636,0.23828017266916,"Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"P4Z61","Diplôme supérieur (bac +3 ou plus)",0,0,"Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z61","Bac + 2",0.09874,0.0395374352321233,"Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z61","Bac, brevet professionnel ou équivalent",1.03253,0.413445290664617,"Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z61","CAP, BEP ou autre diplôme équivalent",0.72886,0.291849858651867,"Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z61","Aucun diplôme, CEP ou brevet des collèges",0.63725,0.255167415451393,"Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z61","En cours d'études initiales",0,0,"Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"T4Z61","Diplôme supérieur (bac +3 ou plus)",0.58317,0.00987408706135134,"Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z61","Bac + 2",1.08959,0.018448662518953,"Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z61","Bac, brevet professionnel ou équivalent",19.186,0.324852503316506,"Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z61","CAP, BEP ou autre diplôme équivalent",20.57345,0.348344456080317,"Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z61","Aucun diplôme, CEP ou brevet des collèges",14.33603,0.242734036960311,"Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z61","En cours d'études initiales",3.29241,0.0557462540625611,"Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"P4Z60","Diplôme supérieur (bac +3 ou plus)",4.85502,0.0645877780206369,"Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z60","Bac + 2",8.95346,0.119110546814771,"Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z60","Bac, brevet professionnel ou équivalent",39.99833,0.532109704849039,"Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z60","CAP, BEP ou autre diplôme équivalent",10.19055,0.135567923779552,"Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z60","Aucun diplôme, CEP ou brevet des collèges",7.64401,0.101690543204256,"Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z60","En cours d'études initiales",3.44374,0.0458130995713278,"Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z60","Inconnu",0.08422,0.00112040376041665,"Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"T3Z61","Diplôme supérieur (bac +3 ou plus)",1.90698,0.0626984828912227,"Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z61","Bac + 2",1.7721,0.0582638420599775,"Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z61","Bac, brevet professionnel ou équivalent",6.94806,0.228441211254019,"Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z61","CAP, BEP ou autre diplôme équivalent",9.00065,0.295927120386624,"Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z61","Aucun diplôme, CEP ou brevet des collèges",8.95607,0.294461400574517,"Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z61","En cours d'études initiales",1.83123,0.0602079428336395,"Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"P0Z60","Diplôme supérieur (bac +3 ou plus)",0.49785,0.277771578418792,"Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z60","Bac + 2",0.99969,0.557769346649556,"Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z60","Bac, brevet professionnel ou équivalent",0.29476,0.164459074931652,"Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z60","CAP, BEP ou autre diplôme équivalent",0,0,"Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z60","Aucun diplôme, CEP ou brevet des collèges",0,0,"Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z60","En cours d'études initiales",0,0,"Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"J5Z60","Diplôme supérieur (bac +3 ou plus)",0.92364,0.244968107255102,"Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z60","Bac + 2",0.72894,0.193329708655466,"Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z60","Bac, brevet professionnel ou équivalent",1.03092,0.273420944449602,"Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z60","CAP, BEP ou autre diplôme équivalent",0.33597,0.0891060748716997,"Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z60","Aucun diplôme, CEP ou brevet des collèges",0.3549,0.0941266957524964,"Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z60","En cours d'études initiales",0.39608,0.105048469015635,"Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"R4Z93","Diplôme supérieur (bac +3 ou plus)",3.8695,0.583596262088187,"Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z93","Bac + 2",1.3289,0.200424104584311,"Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z93","Bac, brevet professionnel ou équivalent",0.85881,0.129525340701371,"Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z93","CAP, BEP ou autre diplôme équivalent",0.24803,0.0374077738430632,"Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z93","Aucun diplôme, CEP ou brevet des collèges",0.07655,0.0115452368168628,"Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z93","En cours d'études initiales",0.24865,0.0375012819662044,"Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"E1Z46","Diplôme supérieur (bac +3 ou plus)",3.64832,0.463907877604167,"Agents qualifiés de laboratoire","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z46","Bac + 2",1.6223,0.206286112467448,"Agents qualifiés de laboratoire","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z46","Bac, brevet professionnel ou équivalent",0.86137,0.10952885945638,"Agents qualifiés de laboratoire","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z46","CAP, BEP ou autre diplôme équivalent",0.33804,0.0429840087890625,"Agents qualifiés de laboratoire","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z46","Aucun diplôme, CEP ou brevet des collèges",0.22364,0.0284372965494792,"Agents qualifiés de laboratoire","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z46","En cours d'études initiales",1.17065,0.148855845133464,"Agents qualifiés de laboratoire","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"D4Z41","Diplôme supérieur (bac +3 ou plus)",0.17111,0.053326560123663,"Agents qualifiés de traitement thermique et de surface","D","Mécanique, travail des métaux","D4Z","Ouvriers qualifiés de la mécanique"
"D4Z41","Bac + 2",0.11901,0.037089555960009,"Agents qualifiés de traitement thermique et de surface","D","Mécanique, travail des métaux","D4Z","Ouvriers qualifiés de la mécanique"
"D4Z41","Bac, brevet professionnel ou équivalent",1.45832,0.454486524221496,"Agents qualifiés de traitement thermique et de surface","D","Mécanique, travail des métaux","D4Z","Ouvriers qualifiés de la mécanique"
"D4Z41","CAP, BEP ou autre diplôme équivalent",0.79489,0.247728066020095,"Agents qualifiés de traitement thermique et de surface","D","Mécanique, travail des métaux","D4Z","Ouvriers qualifiés de la mécanique"
"D4Z41","Aucun diplôme, CEP ou brevet des collèges",0.66539,0.207369293674736,"Agents qualifiés de traitement thermique et de surface","D","Mécanique, travail des métaux","D4Z","Ouvriers qualifiés de la mécanique"
"D4Z41","En cours d'études initiales",0,0,"Agents qualifiés de traitement thermique et de surface","D","Mécanique, travail des métaux","D4Z","Ouvriers qualifiés de la mécanique"
"A0Z00","Diplôme supérieur (bac +3 ou plus)",0.62547,0.0800729716754681,"Agriculteurs indépendants","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z00","Bac + 2",1.4212,0.181942710833733,"Agriculteurs indépendants","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z00","Bac, brevet professionnel ou équivalent",4.4776,0.573224515922548,"Agriculteurs indépendants","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z00","CAP, BEP ou autre diplôme équivalent",0.3391,0.0434117458793407,"Agriculteurs indépendants","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z00","Aucun diplôme, CEP ou brevet des collèges",0.85532,0.109498479756761,"Agriculteurs indépendants","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z00","En cours d'études initiales",0.09256,0.0118495759321491,"Agriculteurs indépendants","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z40","Diplôme supérieur (bac +3 ou plus)",0.86079,0.0357323578773371,"Agriculteurs salariés","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z40","Bac + 2",5.73741,0.238166320948214,"Agriculteurs salariés","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z40","Bac, brevet professionnel ou équivalent",7.06063,0.293094666526636,"Agriculteurs salariés","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z40","CAP, BEP ou autre diplôme équivalent",3.17839,0.131938531992413,"Agriculteurs salariés","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z40","Aucun diplôme, CEP ou brevet des collèges",2.66137,0.110476452193925,"Agriculteurs salariés","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z40","En cours d'études initiales",4.59134,0.190591670461475,"Agriculteurs salariés","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z","Diplôme supérieur (bac +3 ou plus)",4.71689,0.0629988807654603,"Agriculteurs, éleveurs, sylviculteurs, bûcherons","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
