"Fap","Age","Annee","Pourcentage","libelle","code_domaine","libelle_domaine","code_fap_agregee","libelle_fap_agregee"
"T4Z","50 ans et plus","1982-1984",23.8829995823091,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","Moins de 30 ans","2017-2019",12.9150824373424,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","30-49 ans","2017-2019",45.6594680637727,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z","50 ans et plus","2017-2019",41.4254494988849,"Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","Moins de 30 ans","2003-2005",12.3469218860126,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","30-49 ans","2003-2005",57.9483761952231,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","50 ans et plus","2003-2005",29.7047019187643,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","Moins de 30 ans","2017-2019",10.83908828129,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","30-49 ans","2017-2019",45.1061526071629,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","50 ans et plus","2017-2019",44.0547591115471,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"J4Z","Moins de 30 ans","1982-1984",26.3097618618167,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","30-49 ans","1982-1984",58.9281103084583,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","50 ans et plus","1982-1984",14.762127829725,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","Moins de 30 ans","2017-2019",15.9522876844849,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","30-49 ans","2017-2019",60.2577570636816,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","50 ans et plus","2017-2019",23.7899552518335,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","Moins de 30 ans","2003-2005",15.2735156330874,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","30-49 ans","2003-2005",71.2941110264279,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","50 ans et plus","2003-2005",13.4323733404847,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","Moins de 30 ans","2017-2019",17.0109487954939,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","30-49 ans","2017-2019",60.2748635154898,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","50 ans et plus","2017-2019",22.7141876890163,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"T3Z","Moins de 30 ans","1982-1984",25.0944452898685,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","30-49 ans","1982-1984",41.0034177980497,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","50 ans et plus","1982-1984",33.9021369120818,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","Moins de 30 ans","2017-2019",13.4565114686824,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","30-49 ans","2017-2019",50.479012776898,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","50 ans et plus","2017-2019",36.0644757544197,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"G1Z80","Moins de 30 ans","2003-2005",6.02173000699464,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80","30-49 ans","2003-2005",56.3516903707158,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80","50 ans et plus","2003-2005",37.6265796222896,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80","Moins de 30 ans","2017-2019",2.4226456048395,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80","30-49 ans","2017-2019",57.1861670382343,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80","50 ans et plus","2017-2019",40.3911873569262,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"E2Z80","Moins de 30 ans","2003-2005",9.49344218665247,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80","30-49 ans","2003-2005",65.6370153909007,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80","50 ans et plus","2003-2005",24.8695424224468,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80","Moins de 30 ans","2017-2019",7.45557329929741,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80","30-49 ans","2017-2019",62.826137266433,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80","50 ans et plus","2017-2019",29.7182894342696,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"C2Z80","Moins de 30 ans","2003-2005",21.4433348092596,"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z80","30-49 ans","2003-2005",56.4695728577161,"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z80","50 ans et plus","2003-2005",22.0870923330243,"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z80","Moins de 30 ans","2017-2019",3.84679224453997,"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z80","30-49 ans","2017-2019",61.5536848845923,"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z80","50 ans et plus","2017-2019",34.5995228708677,"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"D6Z80","Moins de 30 ans","2003-2005",5.5707194980575,"Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z80","30-49 ans","2003-2005",63.9917978670091,"Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z80","50 ans et plus","2003-2005",30.4374826349334,"Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z80","Moins de 30 ans","2017-2019",5.45470432621963,"Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z80","30-49 ans","2017-2019",57.0175937584117,"Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z80","50 ans et plus","2017-2019",37.5277019153686,"Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"P4Z61","Moins de 30 ans","2003-2005",20.8920838710619,"Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z61","30-49 ans","2003-2005",54.8515452181944,"Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z61","50 ans et plus","2003-2005",24.2563709107437,"Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z61","Moins de 30 ans","2017-2019",6.9074834774367,"Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z61","30-49 ans","2017-2019",57.5274261769315,"Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z61","50 ans et plus","2017-2019",35.5650903456318,"Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"T4Z61","Moins de 30 ans","2003-2005",17.1375449316001,"Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z61","30-49 ans","2003-2005",59.2487790901249,"Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z61","50 ans et plus","2003-2005",23.6136759782751,"Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z61","Moins de 30 ans","2017-2019",17.0862949627633,"Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z61","30-49 ans","2017-2019",46.0153062957869,"Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z61","50 ans et plus","2017-2019",36.8983987414498,"Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"P4Z60","Moins de 30 ans","2003-2005",38.4508259913266,"Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z60","30-49 ans","2003-2005",53.3431987326258,"Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z60","50 ans et plus","2003-2005",8.20597527604765,"Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z60","Moins de 30 ans","2017-2019",28.0931271466163,"Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z60","30-49 ans","2017-2019",61.5645473314464,"Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z60","50 ans et plus","2017-2019",10.3423255219373,"Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"T3Z61","Moins de 30 ans","2003-2005",27.8231454591613,"Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z61","30-49 ans","2003-2005",56.6456037607243,"Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z61","50 ans et plus","2003-2005",15.5312507801144,"Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z61","Moins de 30 ans","2017-2019",16.5515296173991,"Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z61","30-49 ans","2017-2019",54.5441425134706,"Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z61","50 ans et plus","2017-2019",28.9043278691304,"Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"P0Z60","Moins de 30 ans","2003-2005",8.24778325954749,"Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z60","30-49 ans","2003-2005",62.1307366907649,"Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z60","50 ans et plus","2003-2005",29.6214800496876,"Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z60","Moins de 30 ans","2017-2019",6.57190993769248,"Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z60","30-49 ans","2017-2019",43.3405738342023,"Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z60","50 ans et plus","2017-2019",50.0875162281052,"Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"J5Z60","Moins de 30 ans","2003-2005",41.1511743676896,"Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z60","30-49 ans","2003-2005",47.6404796692312,"Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z60","50 ans et plus","2003-2005",11.2083459630791,"Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z60","Moins de 30 ans","2017-2019",15.4191098803103,"Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z60","30-49 ans","2017-2019",56.9119933881449,"Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z60","50 ans et plus","2017-2019",27.6688967315448,"Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"R4Z93","Moins de 30 ans","2003-2005",8.26961454979375,"Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z93","30-49 ans","2003-2005",53.4100050405818,"Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z93","50 ans et plus","2003-2005",38.3203804096244,"Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z93","Moins de 30 ans","2017-2019",8.9210106812593,"Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z93","30-49 ans","2017-2019",52.3872531952499,"Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z93","50 ans et plus","2017-2019",38.6917361234908,"Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"E1Z46","Moins de 30 ans","2003-2005",22.5236633978869,"Agents qualifiés de laboratoire","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z46","30-49 ans","2003-2005",59.2913978299961,"Agents qualifiés de laboratoire","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z46","50 ans et plus","2003-2005",18.1849387721169,"Agents qualifiés de laboratoire","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z46","Moins de 30 ans","2017-2019",19.3427227973418,"Agents qualifiés de laboratoire","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z46","30-49 ans","2017-2019",53.3489413966875,"Agents qualifiés de laboratoire","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z46","50 ans et plus","2017-2019",27.3083358059707,"Agents qualifiés de laboratoire","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"D4Z41","Moins de 30 ans","2003-2005",16.1847880738148,"Agents qualifiés de traitement thermique et de surface","D","Mécanique, travail des métaux","D4Z","Ouvriers qualifiés de la mécanique"
"D4Z41","30-49 ans","2003-2005",59.8944748679716,"Agents qualifiés de traitement thermique et de surface","D","Mécanique, travail des métaux","D4Z","Ouvriers qualifiés de la mécanique"
"D4Z41","50 ans et plus","2003-2005",23.9207370582136,"Agents qualifiés de traitement thermique et de surface","D","Mécanique, travail des métaux","D4Z","Ouvriers qualifiés de la mécanique"
"D4Z41","Moins de 30 ans","2017-2019",18.9395783736036,"Agents qualifiés de traitement thermique et de surface","D","Mécanique, travail des métaux","D4Z","Ouvriers qualifiés de la mécanique"
"D4Z41","30-49 ans","2017-2019",50.7201258200386,"Agents qualifiés de traitement thermique et de surface","D","Mécanique, travail des métaux","D4Z","Ouvriers qualifiés de la mécanique"
"D4Z41","50 ans et plus","2017-2019",30.3402958063578,"Agents qualifiés de traitement thermique et de surface","D","Mécanique, travail des métaux","D4Z","Ouvriers qualifiés de la mécanique"
"A0Z00","Moins de 30 ans","2003-2005",5.80996951557414,"Agriculteurs indépendants","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z00","30-49 ans","2003-2005",48.0131462110475,"Agriculteurs indépendants","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z00","50 ans et plus","2003-2005",46.1768842733783,"Agriculteurs indépendants","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z00","Moins de 30 ans","2017-2019",4.94951766786205,"Agriculteurs indépendants","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z00","30-49 ans","2017-2019",36.4137533898988,"Agriculteurs indépendants","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z00","50 ans et plus","2017-2019",58.6367289422392,"Agriculteurs indépendants","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z40","Moins de 30 ans","2003-2005",33.9529002439361,"Agriculteurs salariés","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z40","30-49 ans","2003-2005",45.7476153546909,"Agriculteurs salariés","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z40","50 ans et plus","2003-2005",20.299484401373,"Agriculteurs salariés","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z40","Moins de 30 ans","2017-2019",44.968843109553,"Agriculteurs salariés","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z40","30-49 ans","2017-2019",30.2321693645661,"Agriculteurs salariés","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z40","50 ans et plus","2017-2019",24.7989875258809,"Agriculteurs salariés","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z","Moins de 30 ans","1982-1984",16.8505532787891,"Agriculteurs, éleveurs, sylviculteurs, bûcherons","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z","30-49 ans","1982-1984",38.3022371665707,"Agriculteurs, éleveurs, sylviculteurs, bûcherons","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z","50 ans et plus","1982-1984",44.8472095546402,"Agriculteurs, éleveurs, sylviculteurs, bûcherons","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z","Moins de 30 ans","2017-2019",16.7318202383563,"Agriculteurs, éleveurs, sylviculteurs, bûcherons","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z","30-49 ans","2017-2019",36.9273864315054,"Agriculteurs, éleveurs, sylviculteurs, bûcherons","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z","50 ans et plus","2017-2019",46.3407933301383,"Agriculteurs, éleveurs, sylviculteurs, bûcherons","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A","Moins de 30 ans","1982-1984",18.928738003058,"Agriculture, marine, pêche","A","Agriculture, marine, pêche",NA,NA
"A","30-49 ans","1982-1984",39.1353667213269,"Agriculture, marine, pêche","A","Agriculture, marine, pêche",NA,NA
"A","50 ans et plus","1982-1984",41.935895275615,"Agriculture, marine, pêche","A","Agriculture, marine, pêche",NA,NA
"A","Moins de 30 ans","2017-2019",20.0165531823178,"Agriculture, marine, pêche","A","Agriculture, marine, pêche",NA,NA
"A","30-49 ans","2017-2019",40.2082589862518,"Agriculture, marine, pêche","A","Agriculture, marine, pêche",NA,NA
"A","50 ans et plus","2017-2019",39.7751878314304,"Agriculture, marine, pêche","A","Agriculture, marine, pêche",NA,NA
"S1Z20","Moins de 30 ans","2003-2005",40.0528527986827,"Aides de cuisine, apprentis de cuisine et employés polyvalents de la restauration","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"S1Z20","30-49 ans","2003-2005",48.1800312213872,"Aides de cuisine, apprentis de cuisine et employés polyvalents de la restauration","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"S1Z20","50 ans et plus","2003-2005",11.7671159799301,"Aides de cuisine, apprentis de cuisine et employés polyvalents de la restauration","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
