"Fap","annee","Pourcentage","Temps_travail","libelle","code_domaine","libelle_domaine","code_fap_agregee","libelle_fap_agregee"
"T4Z","2017-2019",41.78,"Temps partiel","Agents d'entretien","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","2017-2019",19.82,"dont sous-emploi","Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","2017-2019",19.67,"Temps complet travaillant plus de 40h par semaine","Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","2017-2019",47.9,"Temps partiel","Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"J4Z","2017-2019",1.57,"dont sous-emploi","Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","2017-2019",26.43,"Temps complet travaillant plus de 40h par semaine","Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","2017-2019",5.76,"Temps partiel","Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","2017-2019",6.26,"dont sous-emploi","Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","2017-2019",13.23,"Temps complet travaillant plus de 40h par semaine","Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","2017-2019",10.49,"Temps partiel","Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"T3Z","2017-2019",5.95,"dont sous-emploi","Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","2017-2019",28.88,"Temps complet travaillant plus de 40h par semaine","Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","2017-2019",17.46,"Temps partiel","Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"G1Z80","2017-2019",0.37,"dont sous-emploi","Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80","2017-2019",27.25,"Temps complet travaillant plus de 40h par semaine","Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80","2017-2019",1.54,"Temps partiel","Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"E2Z80","2017-2019",0.37,"dont sous-emploi","Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80","2017-2019",37.61,"Temps complet travaillant plus de 40h par semaine","Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80","2017-2019",2.78,"Temps partiel","Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"C2Z80","2017-2019",1.07,"dont sous-emploi","Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z80","2017-2019",40.38,"Temps complet travaillant plus de 40h par semaine","Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z80","2017-2019",0.64,"Temps partiel","Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"D6Z80","2017-2019",0.9,"dont sous-emploi","Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z80","2017-2019",43.04,"Temps complet travaillant plus de 40h par semaine","Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z80","2017-2019",3.58,"Temps partiel","Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"P4Z61","2017-2019",1.08,"dont sous-emploi","Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z61","2017-2019",21.69,"Temps complet travaillant plus de 40h par semaine","Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z61","2017-2019",4.05,"Temps partiel","Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"T4Z61","2017-2019",10.11,"dont sous-emploi","Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z61","2017-2019",6.93,"Temps complet travaillant plus de 40h par semaine","Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z61","2017-2019",30.17,"Temps partiel","Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"P4Z60","2017-2019",0.46,"dont sous-emploi","Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z60","2017-2019",63.64,"Temps complet travaillant plus de 40h par semaine","Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z60","2017-2019",2.53,"Temps partiel","Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"T3Z61","2017-2019",6.19,"dont sous-emploi","Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z61","2017-2019",23.43,"Temps complet travaillant plus de 40h par semaine","Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z61","2017-2019",15.72,"Temps partiel","Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"P0Z60","2017-2019",1.1,"dont sous-emploi","Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z60","2017-2019",11.76,"Temps complet travaillant plus de 40h par semaine","Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z60","2017-2019",20.54,"Temps partiel","Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"J5Z60","2017-2019",9.75,"dont sous-emploi","Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z60","2017-2019",19.84,"Temps complet travaillant plus de 40h par semaine","Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z60","2017-2019",34.88,"Temps partiel","Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"R4Z93","2017-2019",1.49,"dont sous-emploi","Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z93","2017-2019",74.3,"Temps complet travaillant plus de 40h par semaine","Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z93","2017-2019",9.62,"Temps partiel","Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"E1Z46","2017-2019",1.44,"dont sous-emploi","Agents qualifiés de laboratoire","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z46","2017-2019",31.5,"Temps complet travaillant plus de 40h par semaine","Agents qualifiés de laboratoire","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z46","2017-2019",11.51,"Temps partiel","Agents qualifiés de laboratoire","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"D4Z41","2017-2019",3.58,"dont sous-emploi","Agents qualifiés de traitement thermique et de surface","D","Mécanique, travail des métaux","D4Z","Ouvriers qualifiés de la mécanique"
"D4Z41","2017-2019",25.86,"Temps complet travaillant plus de 40h par semaine","Agents qualifiés de traitement thermique et de surface","D","Mécanique, travail des métaux","D4Z","Ouvriers qualifiés de la mécanique"
"D4Z41","2017-2019",6.07,"Temps partiel","Agents qualifiés de traitement thermique et de surface","D","Mécanique, travail des métaux","D4Z","Ouvriers qualifiés de la mécanique"
"A0Z00","2017-2019",2.79,"dont sous-emploi","Agriculteurs indépendants","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z00","2017-2019",91.18,"Temps complet travaillant plus de 40h par semaine","Agriculteurs indépendants","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z00","2017-2019",12.22,"Temps partiel","Agriculteurs indépendants","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z40","2017-2019",7.39,"dont sous-emploi","Agriculteurs salariés","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z40","2017-2019",31.25,"Temps complet travaillant plus de 40h par semaine","Agriculteurs salariés","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z40","2017-2019",19.07,"Temps partiel","Agriculteurs salariés","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z","2017-2019",3.36,"dont sous-emploi","Agriculteurs, éleveurs, sylviculteurs, bûcherons","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z","2017-2019",75.79,"Temps complet travaillant plus de 40h par semaine","Agriculteurs, éleveurs, sylviculteurs, bûcherons","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z","2017-2019",11.41,"Temps partiel","Agriculteurs, éleveurs, sylviculteurs, bûcherons","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A","2017-2019",4.61,"dont sous-emploi","Agriculture, marine, pêche","A","Agriculture, marine, pêche",NA,NA
"A","2017-2019",57.71,"Temps complet travaillant plus de 40h par semaine","Agriculture, marine, pêche","A","Agriculture, marine, pêche",NA,NA
"A","2017-2019",12.9,"Temps partiel","Agriculture, marine, pêche","A","Agriculture, marine, pêche",NA,NA
"S1Z20","2017-2019",15.34,"dont sous-emploi","Aides de cuisine, apprentis de cuisine et employés polyvalents de la restauration","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"S1Z20","2017-2019",19.69,"Temps complet travaillant plus de 40h par semaine","Aides de cuisine, apprentis de cuisine et employés polyvalents de la restauration","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"S1Z20","2017-2019",41.48,"Temps partiel","Aides de cuisine, apprentis de cuisine et employés polyvalents de la restauration","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"T2A","2017-2019",26.67,"dont sous-emploi","Aides à domicile et aides ménagères","T","Services aux particuliers et aux collectivités","T2A","Aides à domicile et aides ménagères"
"T2A","2017-2019",20.76,"Temps complet travaillant plus de 40h par semaine","Aides à domicile et aides ménagères","T","Services aux particuliers et aux collectivités","T2A","Aides à domicile et aides ménagères"
"T2A","2017-2019",72.85,"Temps partiel","Aides à domicile et aides ménagères","T","Services aux particuliers et aux collectivités","T2A","Aides à domicile et aides ménagères"
"T2A60","2017-2019",26.67,"dont sous-emploi","Aides à domicile et aides ménagères","T","Services aux particuliers et aux collectivités","T2A","Aides à domicile et aides ménagères"
"T2A60","2017-2019",20.76,"Temps complet travaillant plus de 40h par semaine","Aides à domicile et aides ménagères","T","Services aux particuliers et aux collectivités","T2A","Aides à domicile et aides ménagères"
"T2A60","2017-2019",72.85,"Temps partiel","Aides à domicile et aides ménagères","T","Services aux particuliers et aux collectivités","T2A","Aides à domicile et aides ménagères"
"V0Z","2017-2019",8.39,"dont sous-emploi","Aides-soignants","V","Santé, action sociale, culturelle et sportive","V0Z","Aides-soignants"
"V0Z","2017-2019",9.71,"Temps complet travaillant plus de 40h par semaine","Aides-soignants","V","Santé, action sociale, culturelle et sportive","V0Z","Aides-soignants"
"V0Z","2017-2019",30.08,"Temps partiel","Aides-soignants","V","Santé, action sociale, culturelle et sportive","V0Z","Aides-soignants"
"V0Z60","2017-2019",8.39,"dont sous-emploi","Aides-soignants","V","Santé, action sociale, culturelle et sportive","V0Z","Aides-soignants"
"V0Z60","2017-2019",9.71,"Temps complet travaillant plus de 40h par semaine","Aides-soignants","V","Santé, action sociale, culturelle et sportive","V0Z","Aides-soignants"
"V0Z60","2017-2019",30.08,"Temps partiel","Aides-soignants","V","Santé, action sociale, culturelle et sportive","V0Z","Aides-soignants"
"S0Z20","2017-2019",0.81,"dont sous-emploi","Apprentis et ouvriers non qualifiés de l'alimentation (hors industries agro-alimentaires)","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z20","2017-2019",23.84,"Temps complet travaillant plus de 40h par semaine","Apprentis et ouvriers non qualifiés de l'alimentation (hors industries agro-alimentaires)","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z20","2017-2019",6.55,"Temps partiel","Apprentis et ouvriers non qualifiés de l'alimentation (hors industries agro-alimentaires)","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"B7Z90","2017-2019",2.76,"dont sous-emploi","Architectes","B","Bâtiment, travaux publics","B7Z","Cadres du bâtiment et des travaux publics"
"B7Z90","2017-2019",74.88,"Temps complet travaillant plus de 40h par semaine","Architectes","B","Bâtiment, travaux publics","B7Z","Cadres du bâtiment et des travaux publics"
"B7Z90","2017-2019",8.96,"Temps partiel","Architectes","B","Bâtiment, travaux publics","B7Z","Cadres du bâtiment et des travaux publics"
"P4Z","2017-2019",0.44,"dont sous-emploi","Armée, police, pompiers","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z","2017-2019",61.11,"Temps complet travaillant plus de 40h par semaine","Armée, police, pompiers","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z","2017-2019",2.52,"Temps partiel","Armée, police, pompiers","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"K","2017-2019",7.42,"dont sous-emploi","Artisanat","K","Artisanat",NA,NA
"K","2017-2019",24.37,"Temps complet travaillant plus de 40h par semaine","Artisanat","K","Artisanat",NA,NA
"K","2017-2019",19.59,"Temps partiel","Artisanat","K","Artisanat",NA,NA
"F3Z40","2017-2019",2.93,"dont sous-emploi","Artisans du travail du bois et de l'ameublement","F","Matériaux souples, bois, industries graphiques","F3Z","Ouvriers qualifiés du travail du bois et de l'ameublement"
"F3Z40","2017-2019",84.69,"Temps complet travaillant plus de 40h par semaine","Artisans du travail du bois et de l'ameublement","F","Matériaux souples, bois, industries graphiques","F3Z","Ouvriers qualifiés du travail du bois et de l'ameublement"
"F3Z40","2017-2019",15.45,"Temps partiel","Artisans du travail du bois et de l'ameublement","F","Matériaux souples, bois, industries graphiques","F3Z","Ouvriers qualifiés du travail du bois et de l'ameublement"
"K0Z","2017-2019",7.42,"dont sous-emploi","Artisans et ouvriers artisanaux","K","Artisanat","K0Z","Artisans et ouvriers artisanaux"
"K0Z","2017-2019",24.37,"Temps complet travaillant plus de 40h par semaine","Artisans et ouvriers artisanaux","K","Artisanat","K0Z","Artisans et ouvriers artisanaux"
"K0Z","2017-2019",19.59,"Temps partiel","Artisans et ouvriers artisanaux","K","Artisanat","K0Z","Artisans et ouvriers artisanaux"
"K0Z40","2017-2019",5.77,"dont sous-emploi","Artisans et ouvriers qualifiés divers de type artisanal","K","Artisanat","K0Z","Artisans et ouvriers artisanaux"
"K0Z40","2017-2019",38.58,"Temps complet travaillant plus de 40h par semaine","Artisans et ouvriers qualifiés divers de type artisanal","K","Artisanat","K0Z","Artisans et ouvriers artisanaux"
"K0Z40","2017-2019",16.4,"Temps partiel","Artisans et ouvriers qualifiés divers de type artisanal","K","Artisanat","K0Z","Artisans et ouvriers artisanaux"
"U1Z91","2017-2019",25.64,"dont sous-emploi","Artistes (musique, danse, spectacles)","U","Communication, information, art et spectacle","U1Z","Professionnels des arts et des spectacles"
"U1Z91","2017-2019",37.15,"Temps complet travaillant plus de 40h par semaine","Artistes (musique, danse, spectacles)","U","Communication, information, art et spectacle","U1Z","Professionnels des arts et des spectacles"
"U1Z91","2017-2019",53.87,"Temps partiel","Artistes (musique, danse, spectacles)","U","Communication, information, art et spectacle","U1Z","Professionnels des arts et des spectacles"
"U1Z93","2017-2019",7.43,"dont sous-emploi","Artistes plasticiens","U","Communication, information, art et spectacle","U1Z","Professionnels des arts et des spectacles"
"U1Z93","2017-2019",71.64,"Temps complet travaillant plus de 40h par semaine","Artistes plasticiens","U","Communication, information, art et spectacle","U1Z","Professionnels des arts et des spectacles"
"U1Z93","2017-2019",22.62,"Temps partiel","Artistes plasticiens","U","Communication, information, art et spectacle","U1Z","Professionnels des arts et des spectacles"
"T2B","2017-2019",12.37,"dont sous-emploi","Assistantes maternelles","T","Services aux particuliers et aux collectivités","T2B","Assistantes maternelles"
"T2B","2017-2019",77.05,"Temps complet travaillant plus de 40h par semaine","Assistantes maternelles","T","Services aux particuliers et aux collectivités","T2B","Assistantes maternelles"
"T2B","2017-2019",28.93,"Temps partiel","Assistantes maternelles","T","Services aux particuliers et aux collectivités","T2B","Assistantes maternelles"
"T2B60","2017-2019",12.37,"dont sous-emploi","Assistantes maternelles","T","Services aux particuliers et aux collectivités","T2B","Assistantes maternelles"
"T2B60","2017-2019",77.05,"Temps complet travaillant plus de 40h par semaine","Assistantes maternelles","T","Services aux particuliers et aux collectivités","T2B","Assistantes maternelles"
"T2B60","2017-2019",28.93,"Temps partiel","Assistantes maternelles","T","Services aux particuliers et aux collectivités","T2B","Assistantes maternelles"
"U0Z80","2017-2019",5.02,"dont sous-emploi","Assistants de communication","U","Communication, information, art et spectacle","U0Z","Professionnels de la communication et de l'information"
"U0Z80","2017-2019",34.88,"Temps complet travaillant plus de 40h par semaine","Assistants de communication","U","Communication, information, art et spectacle","U0Z","Professionnels de la communication et de l'information"
"U0Z80","2017-2019",15.34,"Temps partiel","Assistants de communication","U","Communication, information, art et spectacle","U0Z","Professionnels de la communication et de l'information"
"R2Z80","2017-2019",2.25,"dont sous-emploi","Attachés commerciaux","R","Commerce","R2Z","Attachés commerciaux et représentants"
"R2Z80","2017-2019",46.43,"Temps complet travaillant plus de 40h par semaine","Attachés commerciaux","R","Commerce","R2Z","Attachés commerciaux et représentants"
"R2Z80","2017-2019",7.49,"Temps partiel","Attachés commerciaux","R","Commerce","R2Z","Attachés commerciaux et représentants"
"R2Z","2017-2019",3.15,"dont sous-emploi","Attachés commerciaux et représentants","R","Commerce","R2Z","Attachés commerciaux et représentants"
"R2Z","2017-2019",45.76,"Temps complet travaillant plus de 40h par semaine","Attachés commerciaux et représentants","R","Commerce","R2Z","Attachés commerciaux et représentants"
"R2Z","2017-2019",9.88,"Temps partiel","Attachés commerciaux et représentants","R","Commerce","R2Z","Attachés commerciaux et représentants"
"P1Z81","2017-2019",1.85,"dont sous-emploi","Autres cadres B de la fonction publique","P","Administration publique, professions juridiques, armée et police","P1Z","Professions intermédiaires administratives de la fonction publique (catégorie B et assimilés)"
"P1Z81","2017-2019",21.29,"Temps complet travaillant plus de 40h par semaine","Autres cadres B de la fonction publique","P","Administration publique, professions juridiques, armée et police","P1Z","Professions intermédiaires administratives de la fonction publique (catégorie B et assimilés)"
"P1Z81","2017-2019",16.98,"Temps partiel","Autres cadres B de la fonction publique","P","Administration publique, professions juridiques, armée et police","P1Z","Professions intermédiaires administratives de la fonction publique (catégorie B et assimilés)"
"E0Z24","2017-2019",2.32,"dont sous-emploi","Autres ouvriers non qualifiés de type industriel","E","Industries de process","E0Z","Ouvriers non qualifiés des industries de process"
"E0Z24","2017-2019",12.26,"Temps complet travaillant plus de 40h par semaine","Autres ouvriers non qualifiés de type industriel","E","Industries de process","E0Z","Ouvriers non qualifiés des industries de process"
"E0Z24","2017-2019",3.82,"Temps partiel","Autres ouvriers non qualifiés de type industriel","E","Industries de process","E0Z","Ouvriers non qualifiés des industries de process"
"E1Z47","2017-2019",2.61,"dont sous-emploi","Autres ouvriers qualifiés de type industriel","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z47","2017-2019",21.86,"Temps complet travaillant plus de 40h par semaine","Autres ouvriers qualifiés de type industriel","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z47","2017-2019",5.66,"Temps partiel","Autres ouvriers qualifiés de type industriel","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z42","2017-2019",6.75,"dont sous-emploi","Autres ouvriers qualifiés des industries agro-alimentaires (hors transformation des viandes)","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z42","2017-2019",25.58,"Temps complet travaillant plus de 40h par semaine","Autres ouvriers qualifiés des industries agro-alimentaires (hors transformation des viandes)","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z42","2017-2019",12.74,"Temps partiel","Autres ouvriers qualifiés des industries agro-alimentaires (hors transformation des viandes)","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z41","2017-2019",1.15,"dont sous-emploi","Autres ouvriers qualifiés des industries chimiques et plastiques","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z41","2017-2019",26.42,"Temps complet travaillant plus de 40h par semaine","Autres ouvriers qualifiés des industries chimiques et plastiques","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z41","2017-2019",3.58,"Temps partiel","Autres ouvriers qualifiés des industries chimiques et plastiques","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z43","2017-2019",1.05,"dont sous-emploi","Autres ouvriers qualifiés en verre, céramique, métallurgie, matériaux de construction et énergie ","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z43","2017-2019",26.94,"Temps complet travaillant plus de 40h par semaine","Autres ouvriers qualifiés en verre, céramique, métallurgie, matériaux de construction et énergie ","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z43","2017-2019",2.52,"Temps partiel","Autres ouvriers qualifiés en verre, céramique, métallurgie, matériaux de construction et énergie ","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"V3Z80","2017-2019",6.9,"dont sous-emploi","Autres professionnels para-médicaux","V","Santé, action sociale, culturelle et sportive","V3Z","Professions para-médicales"
"V3Z80","2017-2019",62.93,"Temps complet travaillant plus de 40h par semaine","Autres professionnels para-médicaux","V","Santé, action sociale, culturelle et sportive","V3Z","Professions para-médicales"
"V3Z80","2017-2019",22.97,"Temps partiel","Autres professionnels para-médicaux","V","Santé, action sociale, culturelle et sportive","V3Z","Professions para-médicales"
"Q","2017-2019",0.92,"dont sous-emploi","Banque et assurances","Q","Banque et assurances",NA,NA
"Q","2017-2019",40.59,"Temps complet travaillant plus de 40h par semaine","Banque et assurances","Q","Banque et assurances",NA,NA
"Q","2017-2019",12.43,"Temps partiel","Banque et assurances","Q","Banque et assurances",NA,NA
"S0Z40","2017-2019",2.71,"dont sous-emploi","Bouchers","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z40","2017-2019",32.72,"Temps complet travaillant plus de 40h par semaine","Bouchers","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z40","2017-2019",7.13,"Temps partiel","Bouchers","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z","2017-2019",2.37,"dont sous-emploi","Bouchers, charcutiers, boulangers","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z","2017-2019",40.66,"Temps complet travaillant plus de 40h par semaine","Bouchers, charcutiers, boulangers","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z","2017-2019",6.92,"Temps partiel","Bouchers, charcutiers, boulangers","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z42","2017-2019",1.96,"dont sous-emploi","Boulangers, pâtissiers","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
