"Fap","Secteur","Label_secteur","Milliers","Pourcentage","libelle","code_domaine","libelle_domaine","code_fap_agregee","libelle_fap_agregee"
"T4Z60","PZ","Enseignement",201.54151,22.2794533321523,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z60","AU","Autres secteurs",159.22649,17.6017295553527,"Agents d'entretien de locaux","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"J4Z","HZ","Transports et entreposage",66.68993,63.5623327067003,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","GZ","Commerce ; réparation d'automobiles et de motocycles",5.90857,5.63147228016026,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","CH","Métallurgie et fabrication de produits métalliques",3.98234,3.79557783358298,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z","AU","Autres secteurs",28.33968,27.0106171795565,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","HZ","Transports et entreposage",15.23487,87.9950812438053,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","OZ","Administration publique",1.109,6.40547278049502,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","NZ","Activités de services administratifs et de soutien",0.70607,4.07818950957991,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"J4Z40","AU","Autres secteurs",0.26338,1.52125646611973,"Agents d'exploitation des transports","J","Transports, logistique et tourisme","J4Z","Agents d'exploitation des transports"
"T3Z","NZ","Activités de services administratifs et de soutien",108.84919,50.1313880459906,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","LZ","Activités immobilières",40.47275,18.6400572713345,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","OZ","Administration publique",17.92681,8.25633951466929,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z","AU","Autres secteurs",49.87907,22.9722151680057,"Agents de gardiennage et de sécurité","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"G1Z80","OZ","Administration publique",6.72236,31.3926679957168,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80","GZ","Commerce ; réparation d'automobiles et de motocycles",4.7708,22.2791014575187,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80","NZ","Activités de services administratifs et de soutien",2.5314,11.8213543702446,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"G1Z80","AU","Autres secteurs",7.38923,34.5068761765199,"Agents de maîtrise en entretien","G","Maintenance","G1Z","Techniciens et agents de maîtrise de la maintenance"
"E2Z80","CA","Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",22.18466,27.7819159434199,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80","CE","Industrie chimique",14.27608,17.8779776008079,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80","CG","Fabrication de produits en caoutchouc et en plastique",9.61469,12.0405049886742,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"E2Z80","AU","Autres secteurs",33.77745,42.299601467098,"Agents de maîtrise et assimilés des industries de process","E","Industries de process","E2Z","Techniciens et agents de maîtrise des industries de process"
"C2Z80","CI","Fabrication de produits informatiques, électroniques et optiques",3.18805,31.3115072895346,"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z80","CJ","Fabrication d'équipements électriques",2.71112,26.6273281920933,"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z80","DZ","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",1.17264,11.5171110578566,"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"C2Z80","AU","Autres secteurs",3.10991,30.5440534605155,"Agents de maîtrise et assimilés en fabrication de matériel électrique, électronique","C","Électricité, électronique","C2Z","Techniciens et agents de maîtrise de l'électricité et de l'électronique"
"D6Z80","CH","Métallurgie et fabrication de produits métalliques",14.00536,16.4265804679432,"Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z80","CL","Fabrication de matériels de transport",11.79419,13.8331475298893,"Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z80","CM","Autres industries manufacturières ; réparation et installation de machines et d'équipements",9.84625,11.5484513023932,"Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"D6Z80","AU","Autres secteurs",49.61455,58.1918206997743,"Agents de maîtrise et assimilés en fabrication mécanique","D","Mécanique, travail des métaux","D6Z","Techniciens et agents de maîtrise des industries mécaniques"
"P4Z61","OZ","Administration publique",24.4908,96.3167612826346,"Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z61","AU","Autres secteurs",0.93655,3.68323871736536,"Agents de polices municipales","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"T4Z61","QB","Hébergement médico-social et social et action sociale sans hébergement",174.79647,55.4488861971739,"Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z61","QA","Activités pour la santé humaine",131.18543,41.6146045672279,"Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"T4Z61","AU","Autres secteurs",9.25702,2.93650923559819,"Agents de services hospitaliers","T","Services aux particuliers et aux collectivités","T4Z","Agents d'entretien"
"P4Z60","OZ","Administration publique",262.16887,96.4163041309252,"Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z60","AU","Autres secteurs",9.74455,3.5836958690748,"Agents de sécurité et de l'ordre public","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"T3Z61","NZ","Activités de services administratifs et de soutien",101.52367,59.7563416126307,"Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z61","OZ","Administration publique",17.92681,10.5516337459503,"Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z61","HZ","Transports et entreposage",5.62767,3.31241936981941,"Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"T3Z61","AU","Autres secteurs",44.81791,26.3796052715996,"Agents de sécurité et de surveillance","T","Services aux particuliers et aux collectivités","T3Z","Agents de gardiennage et de sécurité"
"P0Z60","OZ","Administration publique",23.4133,98.3697956120902,"Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"P0Z60","AU","Autres secteurs",0.38801,1.63020438790974,"Agents des impôts et des douanes","P","Administration publique, professions juridiques, armée et police","P0Z","Employés administratifs de la fonction publique (catégorie C et assimilés)"
"J5Z60","HZ","Transports et entreposage",19.41025,63.3578992997753,"Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z60","NZ","Activités de services administratifs et de soutien",2.14887,7.01422645603782,"Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z60","OZ","Administration publique",1.9998,6.52764013960102,"Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"J5Z60","AU","Autres secteurs",7.07696,23.1002341045859,"Agents et hôtesses d'accompagnement","J","Transports, logistique et tourisme","J5Z","Agents administratifs et commerciaux des transports et du tourisme"
"R4Z93","LZ","Activités immobilières",67.65272,72.5649381817706,"Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z93","FZ","Construction",9.23082,9.90106358867835,"Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z93","GZ","Commerce ; réparation d'automobiles et de motocycles",5.91039,6.33953941512115,"Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"R4Z93","AU","Autres secteurs",10.43666,11.1944588144299,"Agents immobiliers, syndics","R","Commerce","R4Z","Cadres commerciaux et technico-commerciaux"
"E1Z46","PZ","Enseignement",12.44704,24.98810022591,"Agents qualifiés de laboratoire","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z46","MB","Recherche-développement scientifique",10.35856,20.7953646389907,"Agents qualifiés de laboratoire","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z46","OZ","Administration publique",9.89458,19.8638999098006,"Agents qualifiés de laboratoire","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"E1Z46","AU","Autres secteurs",17.11169,34.3526352252987,"Agents qualifiés de laboratoire","E","Industries de process","E1Z","Ouvriers qualifiés des industries de process"
"D4Z41","CH","Métallurgie et fabrication de produits métalliques",7.72046,41.5834598177977,"Agents qualifiés de traitement thermique et de surface","D","Mécanique, travail des métaux","D4Z","Ouvriers qualifiés de la mécanique"
"D4Z41","FZ","Construction",2.081,11.2085523247108,"Agents qualifiés de traitement thermique et de surface","D","Mécanique, travail des métaux","D4Z","Ouvriers qualifiés de la mécanique"
"D4Z41","CM","Autres industries manufacturières ; réparation et installation de machines et d'équipements",1.70813,9.20022320154173,"Agents qualifiés de traitement thermique et de surface","D","Mécanique, travail des métaux","D4Z","Ouvriers qualifiés de la mécanique"
"D4Z41","AU","Autres secteurs",7.05659,38.0077646559497,"Agents qualifiés de traitement thermique et de surface","D","Mécanique, travail des métaux","D4Z","Ouvriers qualifiés de la mécanique"
"A0Z00","AZ","Agriculture, sylviculture et pêche",135.18036,93.8095116817791,"Agriculteurs indépendants","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z00","AU","Autres secteurs",8.92055,6.19048831822089,"Agriculteurs indépendants","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z40","AZ","Agriculture, sylviculture et pêche",39.344,67.7369998727693,"Agriculteurs salariés","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z40","NZ","Activités de services administratifs et de soutien",5.46061,9.40131503851268,"Agriculteurs salariés","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z40","GZ","Commerce ; réparation d'automobiles et de motocycles",3.42889,5.9033835271894,"Agriculteurs salariés","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z40","AU","Autres secteurs",9.84997,16.9583015615286,"Agriculteurs salariés","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z","AZ","Agriculture, sylviculture et pêche",395.94269,88.4815162957045,"Agriculteurs, éleveurs, sylviculteurs, bûcherons","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A0Z","AU","Autres secteurs",51.54364,11.5184837042955,"Agriculteurs, éleveurs, sylviculteurs, bûcherons","A","Agriculture, marine, pêche","A0Z","Agriculteurs, éleveurs, sylviculteurs, bûcherons"
"A","AZ","Agriculture, sylviculture et pêche",594.39318,69.2904016083485,"Agriculture, marine, pêche","A","Agriculture, marine, pêche",NA,NA
"A","NZ","Activités de services administratifs et de soutien",74.4767,8.68199808999236,"Agriculture, marine, pêche","A","Agriculture, marine, pêche",NA,NA
"A","OZ","Administration publique",51.88364,6.04824949792151,"Agriculture, marine, pêche","A","Agriculture, marine, pêche",NA,NA
"A","AU","Autres secteurs",137.07551,15.9793508037377,"Agriculture, marine, pêche","A","Agriculture, marine, pêche",NA,NA
"S1Z20","IZ","Hébergement et restauration",93.32369,81.3892221104458,"Aides de cuisine, apprentis de cuisine et employés polyvalents de la restauration","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"S1Z20","QB","Hébergement médico-social et social et action sociale sans hébergement",5.54877,4.83917935488597,"Aides de cuisine, apprentis de cuisine et employés polyvalents de la restauration","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"S1Z20","AU","Autres secteurs",15.79099,13.7715985346682,"Aides de cuisine, apprentis de cuisine et employés polyvalents de la restauration","S","Hôtellerie, restauration, alimentation","S1Z","Cuisiniers"
"T2A","QB","Hébergement médico-social et social et action sociale sans hébergement",389.28372,69.8120150838995,"Aides à domicile et aides ménagères","T","Services aux particuliers et aux collectivités","T2A","Aides à domicile et aides ménagères"
"T2A","TZ","Activités des ménages en tant qu'employeurs ou en tant que producteurs pour usage propre",72.13049,12.9354879158293,"Aides à domicile et aides ménagères","T","Services aux particuliers et aux collectivités","T2A","Aides à domicile et aides ménagères"
"T2A","SZ","Autres activités de services",30.33998,5.44100621881955,"Aides à domicile et aides ménagères","T","Services aux particuliers et aux collectivités","T2A","Aides à domicile et aides ménagères"
"T2A","AU","Autres secteurs",65.86289,11.8114907814517,"Aides à domicile et aides ménagères","T","Services aux particuliers et aux collectivités","T2A","Aides à domicile et aides ménagères"
"T2A60","QB","Hébergement médico-social et social et action sociale sans hébergement",389.28372,69.8120150838995,"Aides à domicile et aides ménagères","T","Services aux particuliers et aux collectivités","T2A","Aides à domicile et aides ménagères"
"T2A60","TZ","Activités des ménages en tant qu'employeurs ou en tant que producteurs pour usage propre",72.13049,12.9354879158293,"Aides à domicile et aides ménagères","T","Services aux particuliers et aux collectivités","T2A","Aides à domicile et aides ménagères"
"T2A60","SZ","Autres activités de services",30.33998,5.44100621881955,"Aides à domicile et aides ménagères","T","Services aux particuliers et aux collectivités","T2A","Aides à domicile et aides ménagères"
"T2A60","AU","Autres secteurs",65.86289,11.8114907814517,"Aides à domicile et aides ménagères","T","Services aux particuliers et aux collectivités","T2A","Aides à domicile et aides ménagères"
"V0Z","QA","Activités pour la santé humaine",316.07399,43.4793749322083,"Aides-soignants","V","Santé, action sociale, culturelle et sportive","V0Z","Aides-soignants"
"V0Z","QB","Hébergement médico-social et social et action sociale sans hébergement",296.8033,40.8284843742337,"Aides-soignants","V","Santé, action sociale, culturelle et sportive","V0Z","Aides-soignants"
"V0Z","PZ","Enseignement",54.68975,7.52316299483783,"Aides-soignants","V","Santé, action sociale, culturelle et sportive","V0Z","Aides-soignants"
"V0Z","AU","Autres secteurs",59.38451,8.16897769872009,"Aides-soignants","V","Santé, action sociale, culturelle et sportive","V0Z","Aides-soignants"
"V0Z60","QA","Activités pour la santé humaine",316.07399,43.4793749322083,"Aides-soignants","V","Santé, action sociale, culturelle et sportive","V0Z","Aides-soignants"
"V0Z60","QB","Hébergement médico-social et social et action sociale sans hébergement",296.8033,40.8284843742337,"Aides-soignants","V","Santé, action sociale, culturelle et sportive","V0Z","Aides-soignants"
"V0Z60","PZ","Enseignement",54.68975,7.52316299483783,"Aides-soignants","V","Santé, action sociale, culturelle et sportive","V0Z","Aides-soignants"
"V0Z60","AU","Autres secteurs",59.38451,8.16897769872009,"Aides-soignants","V","Santé, action sociale, culturelle et sportive","V0Z","Aides-soignants"
"S0Z20","CA","Fabrication de denrées alimentaires, de boissons et de produits à base de tabac",25.46658,63.6253957134159,"Apprentis et ouvriers non qualifiés de l'alimentation (hors industries agro-alimentaires)","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z20","GZ","Commerce ; réparation d'automobiles et de motocycles",9.83141,24.562675933354,"Apprentis et ouvriers non qualifiés de l'alimentation (hors industries agro-alimentaires)","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z20","IZ","Hébergement et restauration",3.77766,9.43806009172581,"Apprentis et ouvriers non qualifiés de l'alimentation (hors industries agro-alimentaires)","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"S0Z20","AU","Autres secteurs",0.95016,2.37386826150426,"Apprentis et ouvriers non qualifiés de l'alimentation (hors industries agro-alimentaires)","S","Hôtellerie, restauration, alimentation","S0Z","Bouchers, charcutiers, boulangers"
"B7Z90","MA","Activités juridiques, comptables, de gestion, d'architecture, d'ingénierie, etc.",52.01376,83.239596202718,"Architectes","B","Bâtiment, travaux publics","B7Z","Cadres du bâtiment et des travaux publics"
"B7Z90","MC","Autres activités spécialisées, scientifiques et techniques",3.77876,6.04729318832137,"Architectes","B","Bâtiment, travaux publics","B7Z","Cadres du bâtiment et des travaux publics"
"B7Z90","AU","Autres secteurs",6.69428,10.7131106089606,"Architectes","B","Bâtiment, travaux publics","B7Z","Cadres du bâtiment et des travaux publics"
"P4Z","OZ","Administration publique",337.95583,96.2026005765965,"Armée, police, pompiers","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"P4Z","AU","Autres secteurs",13.34011,3.79739942340353,"Armée, police, pompiers","P","Administration publique, professions juridiques, armée et police","P4Z","Armée, police, pompiers"
"K","QB","Hébergement médico-social et social et action sociale sans hébergement",20.12152,19.5362643153979,"Artisanat","K","Artisanat",NA,NA
"K","SZ","Autres activités de services",19.91709,19.3377803781011,"Artisanat","K","Artisanat",NA,NA
"K","GZ","Commerce ; réparation d'automobiles et de motocycles",16.69701,16.2113598096387,"Artisanat","K","Artisanat",NA,NA
"K","AU","Autres secteurs",46.26012,44.9145954968623,"Artisanat","K","Artisanat",NA,NA
"F3Z40","CM","Autres industries manufacturières ; réparation et installation de machines et d'équipements",12.47143,59.5871803349495,"Artisans du travail du bois et de l'ameublement","F","Matériaux souples, bois, industries graphiques","F3Z","Ouvriers qualifiés du travail du bois et de l'ameublement"
"F3Z40","CC","Travail du bois, industries du papier et imprimerie",3.68524,17.6076889705166,"Artisans du travail du bois et de l'ameublement","F","Matériaux souples, bois, industries graphiques","F3Z","Ouvriers qualifiés du travail du bois et de l'ameublement"
"F3Z40","FZ","Construction",2.04221,9.75746450501966,"Artisans du travail du bois et de l'ameublement","F","Matériaux souples, bois, industries graphiques","F3Z","Ouvriers qualifiés du travail du bois et de l'ameublement"
"F3Z40","AU","Autres secteurs",2.73084,13.0476661895142,"Artisans du travail du bois et de l'ameublement","F","Matériaux souples, bois, industries graphiques","F3Z","Ouvriers qualifiés du travail du bois et de l'ameublement"
"K0Z","QB","Hébergement médico-social et social et action sociale sans hébergement",20.12152,19.5362643153979,"Artisans et ouvriers artisanaux","K","Artisanat","K0Z","Artisans et ouvriers artisanaux"
"K0Z","SZ","Autres activités de services",19.91709,19.3377803781011,"Artisans et ouvriers artisanaux","K","Artisanat","K0Z","Artisans et ouvriers artisanaux"
"K0Z","GZ","Commerce ; réparation d'automobiles et de motocycles",16.69701,16.2113598096387,"Artisans et ouvriers artisanaux","K","Artisanat","K0Z","Artisans et ouvriers artisanaux"
"K0Z","AU","Autres secteurs",46.26012,44.9145954968623,"Artisans et ouvriers artisanaux","K","Artisanat","K0Z","Artisans et ouvriers artisanaux"
"K0Z40","SZ","Autres activités de services",11.38155,19.4111413987524,"Artisans et ouvriers qualifiés divers de type artisanal","K","Artisanat","K0Z","Artisans et ouvriers artisanaux"
"K0Z40","GZ","Commerce ; réparation d'automobiles et de motocycles",10.74831,18.3311557044185,"Artisans et ouvriers qualifiés divers de type artisanal","K","Artisanat","K0Z","Artisans et ouvriers artisanaux"
"K0Z40","CM","Autres industries manufacturières ; réparation et installation de machines et d'équipements",10.68714,18.2268307645498,"Artisans et ouvriers qualifiés divers de type artisanal","K","Artisanat","K0Z","Artisans et ouvriers artisanaux"
"K0Z40","AU","Autres secteurs",25.81711,44.0308721322793,"Artisans et ouvriers qualifiés divers de type artisanal","K","Artisanat","K0Z","Artisans et ouvriers artisanaux"
"U1Z91","RZ","Arts, spectacles et activités récréatives",48.9865,41.0494046740671,"Artistes (musique, danse, spectacles)","U","Communication, information, art et spectacle","U1Z","Professionnels des arts et des spectacles"
"U1Z91","PZ","Enseignement",31.55521,26.4424399551952,"Artistes (musique, danse, spectacles)","U","Communication, information, art et spectacle","U1Z","Professionnels des arts et des spectacles"
"U1Z91","OZ","Administration publique",13.35946,11.1948777676914,"Artistes (musique, danse, spectacles)","U","Communication, information, art et spectacle","U1Z","Professionnels des arts et des spectacles"
"U1Z91","AU","Autres secteurs",25.4343,21.3132776030463,"Artistes (musique, danse, spectacles)","U","Communication, information, art et spectacle","U1Z","Professionnels des arts et des spectacles"
"U1Z93","RZ","Arts, spectacles et activités récréatives",25.77308,58.5586123926298,"Artistes plasticiens","U","Communication, information, art et spectacle","U1Z","Professionnels des arts et des spectacles"
"U1Z93","MC","Autres activités spécialisées, scientifiques et techniques",7.45601,16.9406838292347,"Artistes plasticiens","U","Communication, information, art et spectacle","U1Z","Professionnels des arts et des spectacles"
"U1Z93","JC","Activités informatiques et services d'information",2.21668,5.03648399486963,"Artistes plasticiens","U","Communication, information, art et spectacle","U1Z","Professionnels des arts et des spectacles"
"U1Z93","AU","Autres secteurs",8.56668,19.4642197832659,"Artistes plasticiens","U","Communication, information, art et spectacle","U1Z","Professionnels des arts et des spectacles"
"T2B","QB","Hébergement médico-social et social et action sociale sans hébergement",334.22039,79.2340582301609,"Assistantes maternelles","T","Services aux particuliers et aux collectivités","T2B","Assistantes maternelles"
"T2B","TZ","Activités des ménages en tant qu'employeurs ou en tant que producteurs pour usage propre",59.33394,14.0663735596289,"Assistantes maternelles","T","Services aux particuliers et aux collectivités","T2B","Assistantes maternelles"
"T2B","OZ","Administration publique",16.64242,3.94543993970803,"Assistantes maternelles","T","Services aux particuliers et aux collectivités","T2B","Assistantes maternelles"
"T2B","AU","Autres secteurs",11.6173,2.75412827050213,"Assistantes maternelles","T","Services aux particuliers et aux collectivités","T2B","Assistantes maternelles"
"T2B60","QB","Hébergement médico-social et social et action sociale sans hébergement",334.22039,79.2340582301609,"Assistantes maternelles","T","Services aux particuliers et aux collectivités","T2B","Assistantes maternelles"
"T2B60","TZ","Activités des ménages en tant qu'employeurs ou en tant que producteurs pour usage propre",59.33394,14.0663735596289,"Assistantes maternelles","T","Services aux particuliers et aux collectivités","T2B","Assistantes maternelles"
